pressure [db]	time [yyyymmddhhmmssmmm]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	qc flag	spar [umol m-2 s-1]	temperature [degc]	angular scattering coef at 117° 470 nm [m-1 sr-1]	bbp470 [m-1]	beam transmission 660 nm [%]	beam attenuation coef 660 nm [m-1]	nitrate isus [µmol/l]	oxygen  [ml/l]	oxygen  [umol/kg]	oxygen per sat [µmol/kg]	par ratio [%]	part backscattering coef 470 nm [m-1]	ph	time [second]
586.0		0.0218	3.955322		580.212						0.0		10.6649	35.5031	0		10.7378			99.8019									
587.0		0.0216	3.95529		581.204						0.0		10.6642	35.5029	0		10.7372			99.7981									
588.0		0.0221	3.955117		582.194						0.0		10.6622	35.5026	0		10.7353			99.8001									
589.0		0.0215	3.956115		583.186						0.0		10.6692	35.5051	0		10.7424			99.7896									
590.0		0.0202	3.956748		584.186						0.0		10.6737	35.5064	0		10.7471			99.7963									
591.0		0.0211	3.956599		585.174						0.0		10.6719	35.5062	0		10.7454			99.7979									
592.0		0.0187	3.955977		586.139						0.0		10.6672	35.5042	0		10.7408			99.7826									
593.0		0.0219	3.955993		587.121						0.0		10.666	35.505	0		10.7398			99.7807									
594.0		0.019	3.954062		588.12						0.0		10.6483	35.5026	0		10.7221			99.7963									
595.0		0.018	3.95377		589.109						0.0		10.6451	35.5024	0		10.719			99.7981									
596.0		0.0163	3.953744		590.106						0.0		10.6443	35.5022	0		10.7184			99.7981									
597.0		0.0169	3.953754		591.087						0.0		10.6439	35.5021	0		10.7181			99.7981									
598.0		0.0172	3.953835		592.084						0.0		10.6441	35.5022	0		10.7184			99.7981									
599.0		0.0173	3.953889		593.084						0.0		10.644	35.5021	0		10.7185			99.7981									
600.0		0.018	3.953963		594.077						0.0		10.6442	35.5021	0		10.7188			99.7981									
601.0		0.0188	3.954128		595.053						0.0		10.6452	35.5021	0		10.7199			99.799									
602.0		0.0223	3.954329		596.025						0.0		10.6467	35.5021	0		10.7215			99.8002									
603.0		0.0201	3.953306		597.016						0.0		10.6366	35.5013	0		10.7115			99.798									
604.0		0.0185	3.951402		598.0						0.0		10.6191	35.499	0		10.6941			99.7965									
605.0		0.0189	3.951006		598.991						0.0		10.6151	35.4984	0		10.6901			99.7941									
606.0		0.0177	3.951013		599.988						0.0		10.6149	35.4981	0		10.6901			99.7916									
607.0		0.0179	3.950859		600.976						0.0		10.6129	35.4978	0		10.6883			99.8112									
608.0		0.018	3.950759		601.969						0.0		10.6117	35.4975	0		10.6871			99.8194									
609.0		0.0185	3.950488		602.968						0.0		10.6089	35.4968	0		10.6845			99.8239									
610.0		0.0188	3.950128		603.972						0.0		10.6054	35.4961	0		10.6811			99.8191									
611.0		0.0267	3.949851		604.932						0.0		10.6023	35.4956	0		10.6781			99.8109									
612.0		0.0208	3.949677		605.916						0.0		10.6004	35.4951	0		10.6763			99.8024									
613.0		0.0189	3.950302		606.908						0.0		10.6043	35.4969	0		10.6803			99.8133									
614.0		0.0182	3.950139		607.903						0.0		10.6022	35.4967	0		10.6783			99.8083									
615.0		0.017	3.948745		608.888						0.0		10.5892	35.495	0		10.6654			99.8057									
616.0		0.0164	3.948091		609.868						0.0		10.5833	35.4937	0		10.6596			99.799									
