Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
lambdasampleT1	HDRlambdasampleT1_UVPSN_TIME_LPM.txt	2019-11-21 04:30:00	146.4	65.54						480.5309734513274	12.282575526396093	65.37992065913944	0.0	0.0	0.0	0.0																																																							
lambdasampleT1	HDRlambdasampleT1_UVPSN_TIME_LPM.txt	2019-11-21 05:30:00	431.6	64.41						378.76106194690266	8.849557522123895	54.4325415308182	0.0	0.0	0.0	0.0																																																							
lambdasampleT1	HDRlambdasampleT1_UVPSN_TIME_LPM.txt	2019-11-21 06:30:00	717.9	64.41						277.8761061946903	8.849557522123895	49.10728147803136	0.0	0.0	0.0	0.0																																																							
lambdasampleT1	HDRlambdasampleT1_UVPSN_TIME_LPM.txt	2019-11-21 07:30:00	1003.3	64.41						183.2945194845521	8.849557522123895	43.797546964757025	0.0	0.0	0.0	0.0																																																							
lambdasampleT1	HDRlambdasampleT1_UVPSN_TIME_LPM.txt	2019-11-21 08:30:00	1289.1	64.41						126.54867256637169	8.849557522123895	35.196398074833105	0.0	0.0	0.0	0.0																																																							
lambdasampleT1	HDRlambdasampleT1_UVPSN_TIME_LPM.txt	2019-11-21 09:30:00	1467.7	15.82						95.13274336283186	8.849557522123893	21.04930467762326	0.0	0.0	0.0	0.0																																																							
