pressure [db]	time [yyyymmddhhmmssmmm]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	qc flag	spar [umol m-2 s-1]	temperature [degc]	bbp470 [m-1]	beam transmission 660 nm [%]	beam attenuation coef 660 nm [m-1]	nitrate isus [?mol/l]	oxygen  [ml/l]	oxygen  [umol/kg]	oxygen per sat [?mol/kg]	par [?mol m-2 s-1]	par ratio [%]	part backscattering coef 470 nm [m-1]	ph	spar [?mol m-2 s-1]	time [second]
385.0	20190101180100000	0.0304	3.980979		381.376								11.0278	35.5227	0		11.0762		99.7723						0.0					
386.0	20190101180400000	0.0262	3.980854		382.369								11.0263	35.5224	0		11.0748		99.7737						0.0					
387.0	20190101180600000	0.0233	3.98062		383.364								11.0236	35.522	0		11.0723		99.7755						0.0					
388.0	20190101180900000	0.0208	3.980439		384.355								11.0217	35.5216	0		11.0704		99.7739						0.0					
389.0	20190101181100000	0.0194	3.98015		385.357								11.0184	35.5213	0		11.0673		99.7831						0.0					
390.0	20190101181400000	0.0219	3.98054		386.339								11.0212	35.5218	0		11.0702		99.7863						0.0					
391.0	20190101181600000	0.0247	3.980908		387.311								11.0243	35.5218	0		11.0734		99.7797						0.0					
392.0	20190101181900000	0.0239	3.980707		388.309								11.0211	35.5223	0		11.0703		99.7908						0.0					
393.0	20190101182100000	0.0224	3.98065		389.306								11.0199	35.5224	0		11.0692		99.7761						0.0					
394.0	20190101182400000	0.0252	3.980223		390.3								11.0156	35.5217	0		11.0651		99.7778						0.0					
395.0	20190101182600000	0.0252	3.979769		391.28								11.011	35.5211	0		11.0606		99.783						0.0					
396.0	20190101182900000	0.0269	3.979439		392.267								11.0078	35.5204	0		11.0576		99.7772						0.0					
397.0	20190101183100000	0.0285	3.978695		393.26								11.0007	35.5195	0		11.0505		99.7908						0.0					
398.0	20190101183400000	0.0257	3.978384		394.254								10.9976	35.5188	0		11.0475		99.7946						0.0					
399.0	20190101183600000	0.0217	3.97762		395.248								10.9906	35.5174	0		11.0407		99.7943						0.0					
400.0	20190101183900000	0.0196	3.976855		396.228								10.9835	35.5161	0		11.0336		99.7917						0.0					
401.0	20190101184100000	0.0194	3.975158		397.21								10.9683	35.5136	0		11.0185		99.7984						0.0					
402.0	20190101184400000	0.022	3.974788		398.199								10.9645	35.513	0		11.0148		99.7967						0.0					
403.0	20190101184600000	0.0181	3.974204		399.2								10.959	35.512	0		11.0094		99.7901						0.0					
404.0	20190101184900000	0.0177	3.973394		400.199								10.9514	35.5108	0		11.0019		99.7724						0.0					
405.0	20190101185100000	0.017	3.97282		401.188								10.9458	35.5098	0		10.9965		99.8002						0.0					
406.0	20190101185400000	0.0188	3.972565		402.163								10.9432	35.5091	0		10.994		99.799						0.0					
407.0	20190101185600000	0.0197	3.972099		403.155								10.9385	35.5083	0		10.9895		99.8074						0.0					
408.0	20190101185900000	0.021	3.970964		404.147								10.9276	35.5072	0		10.9786		99.824						0.0					
409.0	20190101190100000	0.0209	3.970719		405.136								10.9241	35.5076	0		10.9752		99.8175						0.0					
410.0	20190101190400000	0.0228	3.970291		406.126								10.919	35.5076	0		10.9703		99.818						0.0					
411.0	20190101190600000	0.0218	3.970134		407.118								10.9171	35.5072	0		10.9685		99.8319						0.0					
412.0	20190101190900000	0.0213	3.97017		408.107								10.9169	35.507	0		10.9684		99.8141						0.0					
413.0	20190101191100000	0.0205	3.970114		409.097								10.9159	35.5068	0		10.9675		99.835						0.0					
414.0	20190101191400000	0.021	3.96997		410.078								10.914	35.5065	0		10.9658		99.8233						0.0					
415.0	20190101191600000	0.0206	3.96917		411.066								10.9058	35.506	0		10.9577		99.824						0.0					
416.0	20190101191900000	0.0206	3.969228		412.056								10.9058	35.506	0		10.9578		99.8209						0.0					
417.0	20190101192100000	0.0231	3.969338		413.056								10.9063	35.5059	0		10.9584		99.8225						0.0					
418.0	20190101192400000	0.0224	3.969228		414.053								10.9047	35.5058	0		10.9569		99.824						0.0					
419.0	20190101192600000	0.0244	3.969187		415.044								10.9039	35.5056	0		10.9563		99.8226						0.0					
420.0	20190101192900000	0.0243	3.969619		416.015								10.9074	35.5057	0		10.9599		99.8331						0.0					
421.0	20190101193100000	0.0216	3.969149		417.003								10.9027	35.5051	0		10.9553		99.8042						0.0					
422.0	20190101193400000	0.0213	3.968149		417.996								10.8928	35.5043	0		10.9455		99.7908						0.0					
423.0	20190101193600000	0.0219	3.968199		418.991								10.8927	35.5043	0		10.9455		99.8197						0.0					
424.0	20190101193900000	0.0269	3.96804		419.985								10.8909	35.5039	0		10.9438		99.801						0.0					
425.0	20190101194100000	0.0311	3.967809		420.981								10.8883	35.5036	0		10.9413		99.8276						0.0					
426.0	20190101194400000	0.0264	3.967765		421.96								10.8873	35.5034	0		10.9405		99.8313						0.0					
427.0	20190101194600000	0.0196	3.967885		422.945								10.8881	35.5032	0		10.9414		99.8246						0.0					
428.0	20190101194900000	0.0224	3.967459		423.939								10.8835	35.5028	0		10.937		99.8233						0.0					
429.0	20190101195100000	0.0261	3.967289		424.922								10.8815	35.5025	0		10.9351		99.824						0.0					
430.0	20190101195400000	0.0234	3.967003		425.911								10.8779	35.5026	0		10.9316		99.8137						0.0					
431.0	20190101195600000	0.0216	3.967068		426.906								10.8779	35.5026	0		10.9318		99.802						0.0					
432.0	20190101195900000	0.0195	3.967452		427.9								10.88	35.5037	0		10.9339		99.7982						0.0					
433.0	20190101200100000	0.0213	3.969516		428.889								10.8961	35.5078	0		10.9502		99.7918						0.0					
434.0	20190101200400000	0.0208	3.969453		429.872								10.8947	35.508	0		10.949		99.8029						0.0					
435.0	20190101200600000	0.0179	3.969821		430.864								10.8968	35.5091	0		10.9511		99.8233						0.0					
436.0	20190101200900000	0.0192	3.970225		431.858								10.8994	35.51	0		10.9539		99.8186						0.0					
437.0	20190101201100000	0.0244	3.970266		432.846								10.8995	35.5098	0		10.9541		99.8064						0.0					
438.0	20190101201400000	0.0279	3.970241		433.823								10.8985	35.51	0		10.9533		99.8108						0.0					
439.0	20190101201600000	0.0271	3.968817		434.81								10.8857	35.5079	0		10.9406		99.798						0.0					
440.0	20190101201900000	0.0298	3.968424		435.807								10.882	35.507	0		10.937		99.8206						0.0					
441.0	20190101202100000	0.0292	3.968065		436.802								10.8782	35.5067	0		10.9333		99.8051						0.0					
442.0	20190101202400000	0.0273	3.968701		437.796								10.8828	35.5079	0		10.938		99.8046						0.0					
443.0	20190101202600000	0.0304	3.968866		438.789								10.8834	35.5083	0		10.9388		99.8134						0.0					
444.0	20190101202900000	0.0275	3.968746		439.778								10.8815	35.5084	0		10.937		99.8071						0.0					
445.0	20190101203100000	0.0253	3.968896		440.755								10.883	35.5077	0		10.9387		99.8161						0.0					
446.0	20190101203400000	0.0267	3.968801		441.739								10.8813	35.5079	0		10.9371		99.8226						0.0					
447.0	20190101203600000	0.0316	3.968439		442.73								10.8769	35.5081	0		10.9327		99.8178						0.0					
448.0	20190101203900000	0.033	3.968295		443.726								10.8751	35.5078	0		10.9311		99.7982						0.0					
449.0	20190101204100000	0.0295	3.967925		444.716								10.8712	35.5074	0		10.9273		99.7981						0.0					
450.0	20190101204400000	0.0263	3.967587		445.712								10.8676	35.507	0		10.9238		99.7981						0.0					
451.0	20190101204600000	0.0242	3.967446		446.703								10.8658	35.5068	0		10.9221		99.7962						0.0					
452.0	20190101204900000	0.0227	3.967558		447.686								10.8664	35.5067	0		10.9229		99.802						0.0					
453.0	20190101205100000	0.0201	3.967456		448.671								10.865	35.5065	0		10.9216		99.8199						0.0					
454.0	20190101205400000	0.022	3.966957		449.661								10.8599	35.5059	0		10.9166		99.8114						0.0					
455.0	20190101205600000	0.0209	3.96711		450.654								10.8599	35.5068	0		10.9167		99.8188						0.0					
456.0	20190101205900000	0.0235	3.967419		451.637								10.8616	35.5076	0		10.9185		99.8212						0.0					
457.0	20190101210100000	0.0235	3.967515		452.627								10.8618	35.5077	0		10.9189		99.8172						0.0					
458.0	20190101210400000	0.022	3.967413		453.619								10.8603	35.5076	0		10.9175		99.8046						0.0					
459.0	20190101210600000	0.0231	3.967255		454.608								10.8583	35.5074	0		10.9156		99.7995						0.0					
460.0	20190101210900000	0.0239	3.967113		455.606								10.8561	35.5076	0		10.9136		99.8099						0.0					
461.0	20190101211100000	0.0222	3.967126		456.597								10.8554	35.5079	0		10.9129		99.7363						0.0					
462.0	20190101211400000	0.0212	3.967472		457.572								10.8582	35.5079	0		10.9159		99.8068						0.0					
463.0	20190101211600000	0.023	3.968043		458.557								10.8616	35.5096	0		10.9194		99.78						0.0					
464.0	20190101211900000	0.0269	3.967863		459.547								10.8595	35.5094	0		10.9175		99.7882						0.0					
465.0	20190101212100000	0.0283	3.966472		460.545								10.8468	35.5075	0		10.9049		99.798						0.0					
466.0	20190101212400000	0.0315	3.965411		461.539								10.8369	35.5061	0		10.8951		99.7981						0.0					
467.0	20190101212600000	0.0284	3.964915		462.537								10.8321	35.5054	0		10.8903		99.7605						0.0					
468.0	20190101212900000	0.025	3.964814		463.521								10.8308	35.505	0		10.8892		99.6969						0.0					
469.0	20190101213100000	0.0207	3.965379		464.497								10.8352	35.5055	0		10.8937		99.7582						0.0					
470.0	20190101213400000	0.02	3.965101		465.489								10.8324	35.5049	0		10.891		99.7993						0.0					
471.0	20190101213600000	0.0234	3.964288		466.478								10.8246	35.5039	0		10.8833		99.8055						0.0					
472.0	20190101213900000	0.0267	3.963369		467.472								10.8164	35.5023	0		10.8752		99.8083						0.0					
473.0	20190101214100000	0.023	3.960884		468.464								10.7942	35.4987	0		10.8531		99.7811						0.0					
474.0	20190101214400000	0.0221	3.959247		469.451								10.7795	35.4963	0		10.8384		99.7946						0.0					
475.0	20190101214600000	0.0208	3.959153		470.437								10.7782	35.4959	0		10.8372		99.7973						0.0					
476.0	20190101214900000	0.0214	3.959158		471.427								10.7776	35.4957	0		10.8368		99.8186						0.0					
477.0	20190101215100000	0.0222	3.95872		472.419								10.7736	35.4946	0		10.8329		99.8239						0.0					
478.0	20190101215400000	0.0211	3.957326		473.408								10.7609	35.4926	0		10.8203		99.8232						0.0					
479.0	20190101215600000	0.0216	3.957043		474.398								10.7578	35.492	0		10.8173		99.8251						0.0					
480.0	20190101215900000	0.0244	3.956969		475.378								10.7566	35.4917	0		10.8162		99.8413						0.0					
481.0	20190101220100000	0.0216	3.956013		476.365								10.7477	35.4903	0		10.8074		99.8465						0.0					
482.0	20190101220400000	0.0192	3.955662		477.356								10.7439	35.4899	0		10.8037		99.8239						0.0					
483.0	20190101220600000	0.0185	3.955319		478.345								10.7401	35.4896	0		10.8001		99.824						0.0					
484.0	20190101220900000	0.0209	3.955086		479.346								10.7376	35.4891	0		10.7977		99.824						0.0					
485.0	20190101221100000	0.0202	3.954816		480.341								10.7345	35.4888	0		10.7947		99.824						0.0					
486.0	20190101221400000	0.0181	3.95463		481.336								10.7323	35.4885	0		10.7926		99.8224						0.0					
487.0	20190101221600000	0.0198	3.955354		482.301								10.7384	35.4888	0		10.7988		99.8358						0.0					
488.0	20190101221900000	0.0215	3.954913		483.291								10.7339	35.4882	0		10.7945		99.839						0.0					
489.0	20190101222100000	0.0231	3.954508		484.286								10.7295	35.488	0		10.7902		99.8258						0.0					
490.0	20190101222400000	0.0245	3.954462		485.28								10.7286	35.4878	0		10.7894		99.824						0.0					
491.0	20190101222600000	0.0241	3.95437		486.272								10.7273	35.4876	0		10.7882		99.824						0.0					
492.0	20190101222900000	0.026	3.952825		487.265								10.7129	35.4857	0		10.7739		99.824						0.0					
493.0	20190101223100000	0.0247	3.952589		488.248								10.71	35.4855	0		10.7711		99.8253						0.0					
494.0	20190101223400000	0.0237	3.953776		489.227								10.7204	35.4864	0		10.7817		99.8424						0.0					
495.0	20190101223600000	0.0228	3.951983		490.22								10.7038	35.4843	0		10.7651		99.8459						0.0					
496.0	20190101223900000	0.0219	3.951416		491.21								10.6982	35.4835	0		10.7596		99.8453						0.0					
497.0	20190101224100000	0.0215	3.950643		492.204								10.6908	35.4824	0		10.7524		99.8297						0.0					
498.0	20190101224400000	0.0232	3.949959		493.191								10.6844	35.4814	0		10.746		99.7869						0.0					
499.0	20190101224600000	0.0267	3.949409		494.183								10.6789	35.4806	0		10.7407		99.8349						0.0					
500.0	20190101224900000	0.0209	3.949362		495.173								10.6779	35.4803	0		10.7398		99.8407						0.0					
501.0	20190101225100000	0.02	3.949211		496.162								10.676	35.4797	0		10.738		99.8499						0.0					
502.0	20190101225400000	0.0218	3.949334		497.16								10.6761	35.4798	0		10.7383		99.8564						0.0					
